ramal,estacao,ano,passageiros
Deodoro,Central do Brasil ,1995,16692.176
Deodoro,Central do Brasil ,1996,14705.403
Deodoro,Central do Brasil ,1997,11866.369
Deodoro,Central do Brasil ,1998,8941.966
Deodoro,Central do Brasil ,1999,11392.184
Deodoro,Central do Brasil ,2000,13436.569
Deodoro,Praça da Bandeira ,1995,1138.95
Deodoro,Praça da Bandeira ,1996,984.92
Deodoro,Praça da Bandeira ,1997,776.657
Deodoro,Praça da Bandeira ,1998,351.97
Deodoro,Praça da Bandeira ,1999,667.572
Deodoro,Praça da Bandeira ,2000,787.371
Deodoro,São Cristóvão,1995,5089.175
Deodoro,São Cristóvão,1996,4342.914
Deodoro,São Cristóvão,1997,2764.429
Deodoro,São Cristóvão,1998,3661.798
Deodoro,São Cristóvão,1999,2.881528
Deodoro,São Cristóvão,2000,3398.633
Deodoro,Maracanã,1995,...
Deodoro,Maracanã,1996,...
Deodoro,Maracanã,1997,...
Deodoro,Maracanã,1998,...
Deodoro,Maracanã,1999,148.236
Deodoro,Maracanã,2000,174.838
Deodoro,Mangueira,1995,1096.572
Deodoro,Mangueira,1996,1185.056
Deodoro,Mangueira,1997,950.666
Deodoro,Mangueira,1998,626.533
Deodoro,Mangueira,1999,812.525
Deodoro,Mangueira,2000,958.337
Deodoro,São Francisco Xavier,1995,1742.212
Deodoro,São Francisco Xavier,1996,1349.713
Deodoro,São Francisco Xavier,1997,1024.746
Deodoro,São Francisco Xavier,1998,896.951
Deodoro,São Francisco Xavier,1999,1166.62
Deodoro,São Francisco Xavier,2000,1375.976
Deodoro,Riachuelo do Rio,1995,1026.026
Deodoro,Riachuelo do Rio,1996,1122.942
Deodoro,Riachuelo do Rio,1997,903.464
Deodoro,Riachuelo do Rio,1998,700.035
Deodoro,Riachuelo do Rio,1999,816.003
Deodoro,Riachuelo do Rio,2000,962.439
Deodoro,Sampaio,1995,498.232
Deodoro,Sampaio,1996,415.093
Deodoro,Sampaio,1997,1144.018
Deodoro,Sampaio,1998,268.277
Deodoro,Sampaio,1999,319.659
Deodoro,Sampaio,2000,377.023
Deodoro,Engenho Novo,1995,1097.757
Deodoro,Engenho Novo,1996,1017.52
Deodoro,Engenho Novo,1997,725.184
Deodoro,Engenho Novo,1998,507.646
Deodoro,Engenho Novo,1999,675.424
Deodoro,Engenho Novo,2000,796.632
Deodoro,Méier,1995,2733.451
Deodoro,Méier,1996,2551.372
Deodoro,Méier,1997,1897.663
Deodoro,Méier,1998,1363.864
Deodoro,Méier,1999,1760.587
Deodoro,Méier,2000,2076.533
Deodoro,Engenho de Dentro,1995,2195.052
Deodoro,Engenho de Dentro,1996,1934.905
Deodoro,Engenho de Dentro,1997,1575.929
Deodoro,Engenho de Dentro,1998,1279.398
Deodoro,Engenho de Dentro,1999,1691.582
Deodoro,Engenho de Dentro,2000,1995.145
Deodoro,Piedade,1995,940.624
Deodoro,Piedade,1996,852.056
Deodoro,Piedade,1997,641.203
Deodoro,Piedade,1998,181.222
Deodoro,Piedade,1999,471.052
Deodoro,Piedade,2000,555.585
Deodoro,Quintino Bocaiúva,1995,747.84
Deodoro,Quintino Bocaiúva,1996,676.235
Deodoro,Quintino Bocaiúva,1997,529.144
Deodoro,Quintino Bocaiúva,1998,340.497
Deodoro,Quintino Bocaiúva,1999,510.876
Deodoro,Quintino Bocaiúva,2000,602.555
Deodoro,Cascadura,1995,2626.087
Deodoro,Cascadura,1996,2103.009
Deodoro,Cascadura,1997,1549.482
Deodoro,Cascadura,1998,1196.183
Deodoro,Cascadura,1999,1757.71
Deodoro,Cascadura,2000,2073.14
Deodoro,Madureira,1995,5754.889
Deodoro,Madureira,1996,4984.066
Deodoro,Madureira,1997,3659.3
Deodoro,Madureira,1998,2456.007
Deodoro,Madureira,1999,3347.817
Deodoro,Madureira,2000,3948.6
Deodoro,Oswaldo Cruz,1995,919.002
Deodoro,Oswaldo Cruz,1996,885.645
Deodoro,Oswaldo Cruz,1997,681.475
Deodoro,Oswaldo Cruz,1998,560.028
Deodoro,Oswaldo Cruz,1999,647.316
Deodoro,Oswaldo Cruz,2000,763.48
Deodoro,Bento Ribeiro,1995,999.639
Deodoro,Bento Ribeiro,1996,938.562
Deodoro,Bento Ribeiro,1997,797.795
Deodoro,Bento Ribeiro,1998,575.788
Deodoro,Bento Ribeiro,1999,669.801
Deodoro,Bento Ribeiro,2000,790
Deodoro,Marechal Hermes,1995,2027.56
Deodoro,Marechal Hermes,1996,1975.117
Deodoro,Marechal Hermes,1997,1524.594
Deodoro,Marechal Hermes,1998,914.595
Deodoro,Marechal Hermes,1999,1050.911
Deodoro,Marechal Hermes,2000,1239.502
Deodoro,Deodoro,1995,2055.415
Deodoro,Deodoro,1996,1952.143
Deodoro,Deodoro,1997,2016.603
Deodoro,Deodoro,1998,1263.552
Deodoro,Deodoro,1999,1039.936
Deodoro,Deodoro,2000,1226.558
Santa Cruz,Vila Militar,1995,46.804
Santa Cruz,Vila Militar,1996,45.061
Santa Cruz,Vila Militar,1997,27.051
Santa Cruz,Vila Militar,1998,17.371
Santa Cruz,Vila Militar,1999,42.238
Santa Cruz,Vila Militar,2000,55.755
Santa Cruz,Cel. Magalhães Bastos,1995,147.394
Santa Cruz,Cel. Magalhães Bastos,1996,93.222
Santa Cruz,Cel. Magalhães Bastos,1997,54.543
Santa Cruz,Cel. Magalhães Bastos,1998,46.096
Santa Cruz,Cel. Magalhães Bastos,1999,107.516
Santa Cruz,Cel. Magalhães Bastos,2000,141.924
Santa Cruz,Realengo,1995,391.991
Santa Cruz,Realengo,1996,266.667
Santa Cruz,Realengo,1997,144.921
Santa Cruz,Realengo,1998,127.768
Santa Cruz,Realengo,1999,262.958
Santa Cruz,Realengo,2000,347.112
Santa Cruz,Padre Miguel,1995,159.412
Santa Cruz,Padre Miguel,1996,97.725
Santa Cruz,Padre Miguel,1997,48.089
Santa Cruz,Padre Miguel,1998,143.688
Santa Cruz,Padre Miguel,1999,348.79
Santa Cruz,Padre Miguel,2000,460.412
Santa Cruz,Guilherme Silveira,1995,229.363
Santa Cruz,Guilherme Silveira,1996,145.528
Santa Cruz,Guilherme Silveira,1997,83.081
Santa Cruz,Guilherme Silveira,1998,81.821
Santa Cruz,Guilherme Silveira,1999,151.436
Santa Cruz,Guilherme Silveira,2000,199.9
Santa Cruz,Bangu,1995,711.283
Santa Cruz,Bangu,1996,540.592
Santa Cruz,Bangu,1997,339.182
Santa Cruz,Bangu,1998,292.985
Santa Cruz,Bangu,1999,563.243
Santa Cruz,Bangu,2000,743.496
Santa Cruz,Senador Camará,1995,496.913
Santa Cruz,Senador Camará,1996,308.352
Santa Cruz,Senador Camará,1997,171.627
Santa Cruz,Senador Camará,1998,223.396
Santa Cruz,Senador Camará,1999,455.746
Santa Cruz,Senador Camará,2000,601.597
Santa Cruz,Santíssimo ,1995,211.212
Santa Cruz,Santíssimo ,1996,142.929
Santa Cruz,Santíssimo ,1997,82.427
Santa Cruz,Santíssimo ,1998,93.328
Santa Cruz,Santíssimo ,1999,181.242
Santa Cruz,Santíssimo ,2000,239.244
Santa Cruz,Augusto Vasconcelos,1995,180.328
Santa Cruz,Augusto Vasconcelos,1996,104.697
Santa Cruz,Augusto Vasconcelos,1997,59.303
Santa Cruz,Augusto Vasconcelos,1998,92.207
Santa Cruz,Augusto Vasconcelos,1999,189.037
Santa Cruz,Augusto Vasconcelos,2000,249.534
Santa Cruz,Campo Grande,1995,2154.763
Santa Cruz,Campo Grande,1996,1545.05
Santa Cruz,Campo Grande,1997,949.841
Santa Cruz,Campo Grande,1998,768.653
Santa Cruz,Campo Grande,1999,1296.935
Santa Cruz,Campo Grande,2000,1711.989
Santa Cruz,Benjamim do Monte,1995,225.738
Santa Cruz,Benjamim do Monte,1996,91.603
Santa Cruz,Benjamim do Monte,1997,26.173
Santa Cruz,Benjamim do Monte,1998,188.113
Santa Cruz,Benjamim do Monte,1999,264.724
Santa Cruz,Benjamim do Monte,2000,349.443
Santa Cruz,Inhoaíba,1995,527.632
Santa Cruz,Inhoaíba,1996,375.654
Santa Cruz,Inhoaíba,1997,237.899
Santa Cruz,Inhoaíba,1998,340.571
Santa Cruz,Inhoaíba,1999,586.349
Santa Cruz,Inhoaíba,2000,773.996
Santa Cruz,Cosmos,1995,482.885
Santa Cruz,Cosmos,1996,327.832
Santa Cruz,Cosmos,1997,199.859
Santa Cruz,Cosmos,1998,285.151
Santa Cruz,Cosmos,1999,453.013
Santa Cruz,Cosmos,2000,597.989
Santa Cruz,Paciência,1995,912.573
Santa Cruz,Paciência,1996,691.065
Santa Cruz,Paciência,1997,449.755
Santa Cruz,Paciência,1998,471.739
Santa Cruz,Paciência,1999,704.691
Santa Cruz,Paciência,2000,930.211
Santa Cruz,Tancredo Neves,1995,472.535
Santa Cruz,Tancredo Neves,1996,458.394
Santa Cruz,Tancredo Neves,1997,263.751
Santa Cruz,Tancredo Neves,1998,328.631
Santa Cruz,Tancredo Neves,1999,498.043
Santa Cruz,Tancredo Neves,2000,657.43
Santa Cruz,Santa Cruz,1995,2176.91
Santa Cruz,Santa Cruz,1996,1631.226
Santa Cruz,Santa Cruz,1997,1367.093
Santa Cruz,Santa Cruz,1998,1145.614
Santa Cruz,Santa Cruz,1999,1594.034
Santa Cruz,Santa Cruz,2000,2104.167
Saracuruna ,Barão de Mauá,1995,2424.227
Saracuruna ,Barão de Mauá,1996,1832.882
Saracuruna ,Barão de Mauá,1997,1017.519
Saracuruna ,Barão de Mauá,1998,648.266
Saracuruna ,Barão de Mauá,1999,904.668
Saracuruna ,Barão de Mauá,2000,137.518
Saracuruna ,Triagem,1995,966.101
Saracuruna ,Triagem,1996,757.901
Saracuruna ,Triagem,1997,443.541
Saracuruna ,Triagem,1998,375.831
Saracuruna ,Triagem,1999,504.146
Saracuruna ,Triagem,2000,477.268
Saracuruna ,Manguinhos,1995,54.901
Saracuruna ,Manguinhos,1996,105.417
Saracuruna ,Manguinhos,1997,48.983
Saracuruna ,Manguinhos,1998,75.108
Saracuruna ,Manguinhos,1999,170.09
Saracuruna ,Manguinhos,2000,207.379
Saracuruna ,Bonsucesso,1995,630.175
Saracuruna ,Bonsucesso,1996,435.394
Saracuruna ,Bonsucesso,1997,227.665
Saracuruna ,Bonsucesso,1998,190.51
Saracuruna ,Bonsucesso,1999,370.322
Saracuruna ,Bonsucesso,2000,451.509
Saracuruna ,Ramos,1995,464.721
Saracuruna ,Ramos,1996,314.558
Saracuruna ,Ramos,1997,164.472
Saracuruna ,Ramos,1998,140.511
Saracuruna ,Ramos,1999,278.812
Saracuruna ,Ramos,2000,339.937
Saracuruna ,Olaria,1995,486.74
Saracuruna ,Olaria,1996,305.408
Saracuruna ,Olaria,1997,140.631
Saracuruna ,Olaria,1998,131.973
Saracuruna ,Olaria,1999,263.266
Saracuruna ,Olaria,2000,320.983
Saracuruna ,Penha,1995,461.593
Saracuruna ,Penha,1996,309.849
Saracuruna ,Penha,1997,159.901
Saracuruna ,Penha,1998,110.111
Saracuruna ,Penha,1999,203.15
Saracuruna ,Penha,2000,247.687
Saracuruna ,Penha Circular,1995,301.222
Saracuruna ,Penha Circular,1996,208.754
Saracuruna ,Penha Circular,1997,86.175
Saracuruna ,Penha Circular,1998,92.014
Saracuruna ,Penha Circular,1999,138.846
Saracuruna ,Penha Circular,2000,169.286
Saracuruna ,Brás de Pina,1995,182.477
Saracuruna ,Brás de Pina,1996,119.946
Saracuruna ,Brás de Pina,1997,53.566
Saracuruna ,Brás de Pina,1998,41.186
Saracuruna ,Brás de Pina,1999,102.062
Saracuruna ,Brás de Pina,2000,124.437
Saracuruna ,Cordovil,1995,221.23
Saracuruna ,Cordovil,1996,157.267
Saracuruna ,Cordovil,1997,43.838
Saracuruna ,Cordovil,1998,46.462
Saracuruna ,Cordovil,1999,109.255
Saracuruna ,Cordovil,2000,133.207
Saracuruna ,Parada de Lucas,1995,353.607
Saracuruna ,Parada de Lucas,1996,220.008
Saracuruna ,Parada de Lucas,1997,38.722
Saracuruna ,Parada de Lucas,1998,79.613
Saracuruna ,Parada de Lucas,1999,188.329
Saracuruna ,Parada de Lucas,2000,229.617
Saracuruna ,Vigário Geral,1995,90.95
Saracuruna ,Vigário Geral,1996,76.661
Saracuruna ,Vigário Geral,1997,25.557
Saracuruna ,Vigário Geral,1998,39.017
Saracuruna ,Vigário Geral,1999,98.602
Saracuruna ,Vigário Geral,2000,120.219
Saracuruna ,Duque de Caxias,1995,2594.323
Saracuruna ,Duque de Caxias,1996,1843.812
Saracuruna ,Duque de Caxias,1997,1058.936
Saracuruna ,Duque de Caxias,1998,727.411
Saracuruna ,Duque de Caxias,1999,1107.096
Saracuruna ,Duque de Caxias,2000,1349.808
Saracuruna ,Gramacho,1995,2968.989
Saracuruna ,Gramacho,1996,2400.423
Saracuruna ,Gramacho,1997,1607.1
Saracuruna ,Gramacho,1998,1293.73
Saracuruna ,Gramacho,1999,2011.555
Saracuruna ,Gramacho,2000,2453.482
Saracuruna ,Campos Eliseos,1995,118.341
Saracuruna ,Campos Eliseos,1996,53.462
Saracuruna ,Campos Eliseos,1997,19.459
Saracuruna ,Campos Eliseos,1998,14.88
Saracuruna ,Campos Eliseos,1999,74.855
Saracuruna ,Campos Eliseos,2000,91.266
Saracuruna ,Jardim Primavera,1995,...
Saracuruna ,Jardim Primavera,1996,...
Saracuruna ,Jardim Primavera,1997,...
Saracuruna ,Jardim Primavera,1998,...
Saracuruna ,Jardim Primavera,1999,68.388
Saracuruna ,Jardim Primavera,2000,83.381
Saracuruna ,Saracuruna ***,1995,...
Saracuruna ,Saracuruna ***,1996,...
Saracuruna ,Saracuruna ***,1997,...
Saracuruna ,Saracuruna ***,1998,...
Saracuruna ,Saracuruna ***,1999,41.298
Saracuruna ,Saracuruna ***,2000,1152.724
Saracuruna ,Jacarezinho ,1995,38.597
Saracuruna ,Jacarezinho ,1996,25.171
Saracuruna ,Jacarezinho ,1997,2.448
Saracuruna ,Jacarezinho ,1998,...
Saracuruna ,Jacarezinho ,1999,...
Saracuruna ,Jacarezinho ,2000,330.2
Belford Roxo ,Del Castilho,1995,111.609
Belford Roxo ,Del Castilho,1996,98.815
Belford Roxo ,Del Castilho,1997,33.213
Belford Roxo ,Del Castilho,1998,63.057
Belford Roxo ,Del Castilho,1999,115.879
Belford Roxo ,Del Castilho,2000,97.536
Belford Roxo ,Cintra Vidal,1995,169.414
Belford Roxo ,Cintra Vidal,1996,102.723
Belford Roxo ,Cintra Vidal,1997,41.928
Belford Roxo ,Cintra Vidal,1998,43.573
Belford Roxo ,Cintra Vidal,1999,73.109
Belford Roxo ,Cintra Vidal,2000,54.864
Belford Roxo ,Tomás Coelho,1995,163.491
Belford Roxo ,Tomás Coelho,1996,104.403
Belford Roxo ,Tomás Coelho,1997,48.254
Belford Roxo ,Tomás Coelho,1998,44.005
Belford Roxo ,Tomás Coelho,1999,91.867
Belford Roxo ,Tomás Coelho,2000,73.66
Belford Roxo ,Cavalcante,1995,95.68
Belford Roxo ,Cavalcante,1996,65.335
Belford Roxo ,Cavalcante,1997,24.731
Belford Roxo ,Cavalcante,1998,34.335
Belford Roxo ,Cavalcante,1999,80.298
Belford Roxo ,Cavalcante,2000,61.976
Belford Roxo ,Mercadão de Madureira ,1995,676.753
Belford Roxo ,Mercadão de Madureira ,1996,519.145
Belford Roxo ,Mercadão de Madureira ,1997,207.106
Belford Roxo ,Mercadão de Madureira ,1998,177.396
Belford Roxo ,Mercadão de Madureira ,1999,270.861
Belford Roxo ,Mercadão de Madureira ,2000,252.476
Belford Roxo ,Rocha Miranda,1995,106.507
Belford Roxo ,Rocha Miranda,1996,74.609
Belford Roxo ,Rocha Miranda,1997,23.64
Belford Roxo ,Rocha Miranda,1998,25.167
Belford Roxo ,Rocha Miranda,1999,46.958
Belford Roxo ,Rocha Miranda,2000,28.702
Belford Roxo ,Honório Gurgel,1995,129.399
Belford Roxo ,Honório Gurgel,1996,83.732
Belford Roxo ,Honório Gurgel,1997,31.302
Belford Roxo ,Honório Gurgel,1998,32.465
Belford Roxo ,Honório Gurgel,1999,68.607
Belford Roxo ,Honório Gurgel,2000,47.498
Belford Roxo ,Barros Filho,1995,28.043
Belford Roxo ,Barros Filho,1996,21.409
Belford Roxo ,Barros Filho,1997,6.415
Belford Roxo ,Barros Filho,1998,19.411
Belford Roxo ,Barros Filho,1999,35.509
Belford Roxo ,Barros Filho,2000,17.272
Belford Roxo ,Costa Barros,1995,133.439
Belford Roxo ,Costa Barros,1996,74.939
Belford Roxo ,Costa Barros,1997,47.038
Belford Roxo ,Costa Barros,1998,62.609
Belford Roxo ,Costa Barros,1999,86.885
Belford Roxo ,Costa Barros,2000,68.58
Belford Roxo ,Pavuna,1995,578.735
Belford Roxo ,Pavuna,1996,407.545
Belford Roxo ,Pavuna,1997,166.614
Belford Roxo ,Pavuna,1998,123.533
Belford Roxo ,Pavuna,1999,180.576
Belford Roxo ,Pavuna,2000,162.306
Belford Roxo ,Vila Rosali,1995,206.825
Belford Roxo ,Vila Rosali,1996,111.5
Belford Roxo ,Vila Rosali,1997,38.223
Belford Roxo ,Vila Rosali,1998,66.374
Belford Roxo ,Vila Rosali,1999,99.332
Belford Roxo ,Vila Rosali,2000,81.026
Belford Roxo ,Agostinho Porto,1995,227.8
Belford Roxo ,Agostinho Porto,1996,138.031
Belford Roxo ,Agostinho Porto,1997,68.018
Belford Roxo ,Agostinho Porto,1998,75.539
Belford Roxo ,Agostinho Porto,1999,123.502
Belford Roxo ,Agostinho Porto,2000,105.156
Belford Roxo ,Coelho da Rocha,1995,398.351
Belford Roxo ,Coelho da Rocha,1996,271.882
Belford Roxo ,Coelho da Rocha,1997,147.727
Belford Roxo ,Coelho da Rocha,1998,142.241
Belford Roxo ,Coelho da Rocha,1999,211.804
Belford Roxo ,Coelho da Rocha,2000,193.548
Belford Roxo ,Belford Roxo,1995,2220.607
Belford Roxo ,Belford Roxo,1996,1936.418
Belford Roxo ,Belford Roxo,1997,1264.181
Belford Roxo ,Belford Roxo,1998,938.489
Belford Roxo ,Belford Roxo,1999,1054.83
Belford Roxo ,Belford Roxo,2000,965.2
Belford Roxo ,São Mateus,1995,55.333
Belford Roxo ,São Mateus,1996,5.307
Belford Roxo ,São Mateus,1997,...
Belford Roxo ,São Mateus,1998,...
Belford Roxo ,São Mateus,1999,...
Belford Roxo ,São Mateus,2000,...
Japeri ,Ricardo de Albuquerque ,1995,284.094
Japeri ,Ricardo de Albuquerque ,1996,267.977
Japeri ,Ricardo de Albuquerque ,1997,128.414
Japeri ,Ricardo de Albuquerque ,1998,85.83
Japeri ,Ricardo de Albuquerque ,1999,220.456
Japeri ,Ricardo de Albuquerque ,2000,268.596
Japeri ,Anchieta,1995,277.487
Japeri ,Anchieta,1996,233.944
Japeri ,Anchieta,1997,109.358
Japeri ,Anchieta,1998,88.724
Japeri ,Anchieta,1999,210.447
Japeri ,Anchieta,2000,256.401
Japeri ,Olinda,1995,403.798
Japeri ,Olinda,1996,318.653
Japeri ,Olinda,1997,159.258
Japeri ,Olinda,1998,65.325
Japeri ,Olinda,1999,256.806
Japeri ,Olinda,2000,312.884
Japeri ,Nilópolis,1995,1341.065
Japeri ,Nilópolis,1996,1186.632
Japeri ,Nilópolis,1997,690.707
Japeri ,Nilópolis,1998,540.252
Japeri ,Nilópolis,1999,983.743
Japeri ,Nilópolis,2000,1198.559
Japeri ,Edson Passos,1995,590.11
Japeri ,Edson Passos,1996,406.733
Japeri ,Edson Passos,1997,201.568
Japeri ,Edson Passos,1998,262.719
Japeri ,Edson Passos,1999,560.758
Japeri ,Edson Passos,2000,683.208
Japeri ,Mesquita,1995,768.699
Japeri ,Mesquita,1996,564.871
Japeri ,Mesquita,1997,267.133
Japeri ,Mesquita,1998,226.193
Japeri ,Mesquita,1999,572.525
Japeri ,Mesquita,2000,697.545
Japeri ,Pres. Juscelino,1995,435.057
Japeri ,Pres. Juscelino,1996,326.513
Japeri ,Pres. Juscelino,1997,180.779
Japeri ,Pres. Juscelino,1998,171.36
Japeri ,Pres. Juscelino,1999,320.821
Japeri ,Pres. Juscelino,2000,390.877
Japeri ,Nova Iguaçu,1995,3666.513
Japeri ,Nova Iguaçu,1996,3375.933
Japeri ,Nova Iguaçu,1997,2003.85
Japeri ,Nova Iguaçu,1998,1584.359
Japeri ,Nova Iguaçu,1999,2691.575
Japeri ,Nova Iguaçu,2000,3279.323
Japeri ,Comendador Soares,1995,1590.259
Japeri ,Comendador Soares,1996,1558.749
Japeri ,Comendador Soares,1997,857.72
Japeri ,Comendador Soares,1998,987.231
Japeri ,Comendador Soares,1999,1763.569
Japeri ,Comendador Soares,2000,2148.672
Japeri ,Austin,1995,2006.627
Japeri ,Austin,1996,1513.456
Japeri ,Austin,1997,893.007
Japeri ,Austin,1998,1113.757
Japeri ,Austin,1999,1848.444
Japeri ,Austin,2000,2252.081
Japeri ,Queimados,1995,4229.423
Japeri ,Queimados,1996,3377.197
Japeri ,Queimados,1997,2424.13
Japeri ,Queimados,1998,2153.453
Japeri ,Queimados,1999,3329.842
Japeri ,Queimados,2000,4056.966
Japeri ,Engenheiro Pedreira,1995,2490.214
Japeri ,Engenheiro Pedreira,1996,2245.102
Japeri ,Engenheiro Pedreira,1997,1362.2
Japeri ,Engenheiro Pedreira,1998,1887.499
Japeri ,Engenheiro Pedreira,1999,2953.223
Japeri ,Engenheiro Pedreira,2000,3598.106
Japeri ,Japeri,1995,1652.876
Japeri ,Japeri,1996,1317.9
Japeri ,Japeri,1997,965.103
Japeri ,Japeri,1998,1166.925
Japeri ,Japeri,1999,1776.995
Japeri ,Japeri,2000,2165.03
Japeri ,Lages,1995,...
Japeri ,Lages,1996,...
Japeri ,Lages,1997,114.003
Japeri ,Lages,1998,166.065
Japeri ,Lages,1999,239.734
Japeri ,Lages,2000,292.084
Japeri ,Paracambi,1995,641.756
Japeri ,Paracambi,1996,528.922
Japeri ,Paracambi,1997,446.025
Japeri ,Paracambi,1998,366.156
Japeri ,Paracambi,1999,469.97
Japeri ,Paracambi,2000,572.595
Deodoro,Central do Brasil ,2001,14287.401
Deodoro,Central do Brasil ,2002,15827.778
Deodoro,Central do Brasil ,2003,18335.99
Deodoro,Central do Brasil ,2004,17448
Deodoro,Central do Brasil ,2005,18696
Deodoro,Central do Brasil ,2006,21376
Deodoro,Central do Brasil ,2007,25050
Deodoro,Central do Brasil ,2008,28090.486
Deodoro,Central do Brasil ,2009,28542.657
Deodoro,Central do Brasil ,2010,31017.015
Deodoro,Praça da Bandeira ,2001,900.22
Deodoro,Praça da Bandeira ,2002,989.799
Deodoro,Praça da Bandeira ,2003,1140.068
Deodoro,Praça da Bandeira ,2004,1128
Deodoro,Praça da Bandeira ,2005,1131
Deodoro,Praça da Bandeira ,2006,1135
Deodoro,Praça da Bandeira ,2007,1198
Deodoro,Praça da Bandeira ,2008,1327.258
Deodoro,Praça da Bandeira ,2009,1264.772
Deodoro,Praça da Bandeira ,2010,1288.321
Deodoro,São Cristóvão,2001,3605.278
Deodoro,São Cristóvão,2002,3849.656
Deodoro,São Cristóvão,2003,4531.544
Deodoro,São Cristóvão,2004,4346
Deodoro,São Cristóvão,2005,4318
Deodoro,São Cristóvão,2006,4422
Deodoro,São Cristóvão,2007,4605
Deodoro,São Cristóvão,2008,4809.178
Deodoro,São Cristóvão,2009,4713.88
Deodoro,São Cristóvão,2010,5068.771
Deodoro,Maracanã,2001,259.604
Deodoro,Maracanã,2002,316.333
Deodoro,Maracanã,2003,377.333
Deodoro,Maracanã,2004,451
Deodoro,Maracanã,2005,418
Deodoro,Maracanã,2006,424
Deodoro,Maracanã,2007,524
Deodoro,Maracanã,2008,490.651
Deodoro,Maracanã,2009,493.094
Deodoro,Maracanã,2010,389.733
Deodoro,Mangueira,2001,951.94
Deodoro,Mangueira,2002,999.259
Deodoro,Mangueira,2003,1111.065
Deodoro,Mangueira,2004,1213
Deodoro,Mangueira,2005,1221
Deodoro,Mangueira,2006,1209
Deodoro,Mangueira,2007,1255
Deodoro,Mangueira,2008,1216.543
Deodoro,Mangueira,2009,1157.859
Deodoro,Mangueira,2010,1119.117
Deodoro,São Francisco Xavier,2001,1205.371
Deodoro,São Francisco Xavier,2002,1237.91
Deodoro,São Francisco Xavier,2003,1383.463
Deodoro,São Francisco Xavier,2004,1300
Deodoro,São Francisco Xavier,2005,1108
Deodoro,São Francisco Xavier,2006,929
Deodoro,São Francisco Xavier,2007,1022
Deodoro,São Francisco Xavier,2008,1118.448
Deodoro,São Francisco Xavier,2009,1082.435
Deodoro,São Francisco Xavier,2010,1089.112
Deodoro,Riachuelo do Rio,2001,752.493
Deodoro,Riachuelo do Rio,2002,744.77
Deodoro,Riachuelo do Rio,2003,847.652
Deodoro,Riachuelo do Rio,2004,788
Deodoro,Riachuelo do Rio,2005,856
Deodoro,Riachuelo do Rio,2006,956
Deodoro,Riachuelo do Rio,2007,1033
Deodoro,Riachuelo do Rio,2008,1065.847
Deodoro,Riachuelo do Rio,2009,961.385
Deodoro,Riachuelo do Rio,2010,962.992
Deodoro,Sampaio,2001,376.792
Deodoro,Sampaio,2002,322.971
Deodoro,Sampaio,2003,377.385
Deodoro,Sampaio,2004,344
Deodoro,Sampaio,2005,377
Deodoro,Sampaio,2006,417
Deodoro,Sampaio,2007,446
Deodoro,Sampaio,2008,445.996
Deodoro,Sampaio,2009,389.79
Deodoro,Sampaio,2010,418.014
Deodoro,Engenho Novo,2001,744.833
Deodoro,Engenho Novo,2002,784.031
Deodoro,Engenho Novo,2003,908.846
Deodoro,Engenho Novo,2004,854
